Seed,Score,Negative_Jokers,Ace,2,3,4,5,6,7,8,9,Jack,Queen,King,10
MAIL1DR6,76,0,5,3,5,9,12,3,1,1,0,1,7,3,2
MAIL1DYN,76,0,2,6,3,1,6,11,1,2,4,4,4,4,4
MAIL1DZB,76,0,5,5,4,4,3,1,3,1,5,11,4,3,3
MAIL1E5L,76,0,2,2,1,6,6,4,4,2,5,11,1,5,3
MAIL1E7C,76,0,2,3,2,2,4,3,5,3,4,11,5,6,2
MAIL1EED,76,0,3,6,5,3,11,4,3,2,5,2,2,4,2
MAIL1ELG,76,0,3,2,3,2,2,2,4,11,4,3,3,10,3
MAIL1EMP,76,0,4,3,2,3,5,2,11,3,2,4,2,6,5
MAIL1EOI,76,0,2,5,1,11,3,4,4,2,6,2,4,6,2
MAIL1EPY,76,0,3,4,2,4,1,7,11,4,8,2,1,3,2
MAIL1ETC,76,0,4,3,4,2,11,2,3,5,4,3,2,5,4
MAIL1EUB,76,0,6,4,4,2,2,7,11,1,2,2,4,3,4
MAIL1EUD,76,0,5,6,2,3,4,4,3,4,2,2,2,4,11
MAIL1EW8,76,0,5,4,4,1,11,2,6,3,2,2,2,6,4
MAIL1EXZ,76,0,2,2,5,8,3,2,11,5,2,2,3,3,4
MAIL1EYD,76,0,4,5,1,5,3,1,6,2,5,2,4,11,3
MAIL1F2E,76,0,2,8,11,2,5,7,1,3,5,1,2,2,3
MAIL1F3U,76,0,7,1,4,5,4,2,4,2,11,3,4,3,2
MAIL1F69,76,0,3,3,7,3,1,4,3,2,3,5,6,11,1
MAIL1F79,76,0,5,1,5,4,1,11,4,1,4,6,3,2,5
MAIL1F7P,76,0,3,2,6,5,3,4,1,4,1,3,11,3,6
MAIL1FC5,76,0,4,2,7,2,6,2,5,1,2,2,3,5,11
MAIL1FEG,76,0,4,2,2,5,2,4,2,6,11,3,3,2,6
MAIL1FFE,76,0,2,3,2,5,2,5,6,4,11,5,1,1,5
MAIL1FH4,76,0,1,3,4,1,5,1,4,2,11,9,9,1,1
MAIL1FHX,76,0,4,4,2,1,3,3,3,11,3,7,3,5,3
MAIL1FHY,76,0,4,3,7,4,2,2,5,2,3,3,4,11,2
MAIL1FIR,76,0,2,1,5,2,11,4,5,5,4,2,4,3,4
MAIL1FNI,76,0,3,7,11,1,4,6,2,4,2,4,2,2,4
MAIL1FSL,76,0,4,6,4,5,3,3,2,11,2,3,5,2,2
MAIL1G38,76,0,1,4,3,5,0,4,5,12,3,4,4,4,3
MAIL1G48,76,0,3,3,4,5,1,3,11,3,2,2,6,4,5
MAIL1GDA,76,0,3,1,3,4,5,2,2,5,7,6,1,11,2
MAIL1GIQ,76,0,1,11,3,2,4,6,6,3,3,4,1,4,4
MAIL1GP4,76,0,5,11,3,1,4,5,5,3,5,2,1,4,3
MAIL1GQE,76,0,12,5,5,7,1,0,1,2,4,3,7,3,2
MAIL1GS5,76,0,3,2,4,3,7,6,1,3,2,5,11,2,3
MAIL1GUE,76,0,3,4,4,0,2,3,7,5,1,3,4,12,4
MAIL1GVA,76,0,4,5,6,1,12,6,1,0,5,3,3,3,3
MAIL1GVV,76,0,1,11,3,2,2,2,1,3,7,4,5,4,7
MAIL1GWH,76,0,4,5,3,2,3,11,5,2,2,5,7,1,2
MAIL1GX6,76,0,4,3,11,5,3,6,1,3,3,3,6,3,1
MAIL1GXR,76,0,8,3,1,4,3,1,11,3,3,6,2,4,3
MAIL1H3W,76,0,2,3,4,2,4,2,2,11,5,5,2,7,3
MAIL1HBD,76,0,3,4,5,11,4,3,5,4,3,1,3,3,3
MAIL1HBH,76,0,11,4,3,7,4,3,1,3,3,4,2,4,3
MAIL1HBS,76,0,4,3,4,2,4,3,4,3,3,4,3,4,11
MAIL1HFD,76,0,4,7,1,3,6,3,11,4,1,6,1,3,2
MAIL1HFI,76,0,11,2,3,2,3,8,2,5,3,1,2,7,3
MAIL1HFM,76,0,1,4,4,7,3,2,2,6,4,11,3,4,1
MAIL1HHU,76,0,2,4,3,4,2,4,3,2,5,11,3,6,3
MAIL1HLH,76,0,4,2,2,2,4,3,6,2,1,2,11,2,11
MAIL1HM6,76,0,3,5,2,5,2,3,11,3,5,3,1,1,8
MAIL1HV1,76,0,3,3,4,11,1,3,6,3,3,3,2,8,2
MAIL1HXX,76,0,2,3,3,4,5,4,5,4,3,2,11,3,3
MAIL1HYM,76,0,3,11,3,8,3,3,3,2,2,2,2,7,3
MAIL1HYP,76,0,3,1,2,4,1,3,7,3,6,5,5,11,1
MAIL1HYZ,76,0,4,4,12,3,4,0,1,2,9,1,5,2,5
MAIL1I3E,76,0,3,3,3,11,6,2,4,5,3,1,5,5,1
MAIL1I3I,76,0,5,3,5,2,1,11,2,4,4,2,5,3,5
MAIL1I3Y,76,0,5,3,10,1,3,2,3,2,3,1,4,4,11
MAIL1I45,76,0,5,1,6,4,2,3,11,2,6,4,2,1,5
MAIL1I71,76,0,2,1,5,8,11,2,5,4,4,3,2,3,2
MAIL1I7S,76,0,2,4,3,3,5,3,1,11,2,3,6,5,4
MAIL1IB8,76,0,3,1,2,3,5,3,7,4,11,4,4,2,3
MAIL1ID1,76,0,4,11,3,2,7,1,3,6,6,4,2,1,2
MAIL1IFJ,76,0,11,3,5,2,4,3,3,5,1,5,5,1,4
MAIL1II3,76,0,2,5,2,4,3,2,3,4,11,5,4,4,3
MAIL1IJF,76,0,4,4,1,11,2,3,3,4,4,3,6,4,3
MAIL1IRC,76,0,3,3,3,1,3,5,2,5,3,2,11,6,5
MAIL1IWE,76,0,1,7,2,3,7,1,3,5,3,2,4,3,11
MAIL1J18,76,0,5,2,2,3,4,7,6,2,4,3,1,11,2
MAIL1J2X,76,0,1,7,11,2,4,2,2,4,4,8,4,2,1
MAIL1J3U,76,0,5,3,11,3,5,3,2,3,3,3,3,7,1
MAIL1J42,76,0,1,2,5,2,4,4,4,2,3,4,3,11,7
MAIL1J8Q,76,0,4,3,2,3,3,2,3,5,5,11,3,3,5
MAIL1J8W,76,0,7,6,2,2,11,5,3,1,3,2,3,2,5
MAIL1J9Y,76,0,2,6,11,2,1,4,5,4,2,4,4,2,5
MAIL1JAK,76,0,2,11,3,4,4,4,6,3,5,3,3,3,1
MAIL1JBM,76,0,6,5,11,3,6,6,1,2,5,1,3,1,2
MAIL1JCI,76,0,2,1,2,6,3,5,3,3,3,2,5,6,11
MAIL1JFU,76,0,11,3,3,1,8,2,3,5,1,3,4,4,4
MAIL1JGA,76,0,4,0,3,3,0,5,13,6,3,3,2,6,4
MAIL1JGC,76,0,2,8,4,3,3,4,2,11,1,5,5,2,2
MAIL1JIG,76,0,12,0,3,4,5,3,3,5,4,4,3,3,3
MAIL1JJN,76,0,6,5,6,12,4,2,3,1,3,3,5,2,0
MAIL1JKE,76,0,2,3,4,4,3,3,4,5,3,11,3,2,5
MAIL1JKY,76,0,3,5,11,1,1,4,3,2,6,4,2,7,3
MAIL1JL6,76,0,1,4,2,11,2,5,7,3,2,4,1,5,5
MAIL1JLU,76,0,6,4,4,5,4,11,1,4,2,1,3,1,6
MAIL1JLW,76,0,3,3,5,3,4,3,4,11,2,2,4,2,6
MAIL1JM8,76,0,5,2,6,4,11,2,5,3,1,3,4,1,5
MAIL1JN4,76,0,5,11,5,4,3,3,3,3,2,2,5,2,4
MAIL1JO3,76,0,3,2,1,6,5,1,4,3,4,5,2,5,11
MAIL1JOU,76,0,11,3,4,3,1,3,4,4,2,1,3,8,5
MAIL1JUH,76,0,9,5,3,5,4,2,1,1,2,3,5,11,1
MAIL1K18,76,0,11,3,5,5,2,4,1,4,4,1,2,4,6
MAIL1K3C,76,0,11,1,2,3,2,5,4,4,6,2,5,5,2
MAIL1K5M,76,0,2,3,7,4,2,6,5,2,2,5,1,2,11
MAIL1K5S,76,0,2,3,1,4,2,5,5,2,11,8,3,2,4
MAIL1K9P,76,0,11,1,3,8,4,3,4,2,4,2,5,3,2
MAIL1KC8,76,0,4,5,3,2,6,11,2,2,4,4,2,2,5
MAIL1KCZ,76,0,2,1,3,2,3,7,4,1,5,3,11,2,8
MAIL1KIB,76,0,3,11,1,1,1,7,5,6,5,2,3,3,4
MAIL1KJI,76,0,9,2,2,2,2,4,2,3,11,3,3,6,3
MAIL1KNL,76,0,2,5,3,6,4,4,2,4,3,4,11,3,1
MAIL1KOC,76,0,3,3,5,3,5,2,1,5,4,11,3,2,5
MAIL1KRA,76,0,1,3,5,4,6,7,2,1,2,2,3,11,5
MAIL1KT5,76,0,4,3,7,2,11,1,5,6,2,3,3,2,3
MAIL1KTI,76,0,3,2,1,11,4,4,2,4,4,5,4,4,4
MAIL1KTJ,76,0,4,1,2,3,5,11,3,3,4,5,4,5,2
MAIL1KTK,76,0,1,4,4,1,5,2,1,5,1,7,11,5,5
MAIL1KUP,76,0,3,11,2,4,4,4,2,8,5,3,2,2,2
MAIL1KV3,76,0,1,3,2,5,1,11,2,3,7,4,2,5,6
MAIL1KYE,76,0,4,3,11,1,4,1,1,3,1,5,4,6,8
MAIL1L1B,76,0,2,1,4,11,6,3,3,4,5,2,5,4,2
MAIL1L1X,76,0,1,4,11,4,4,1,6,6,5,3,2,4,1
MAIL1L6A,76,0,5,2,3,4,4,4,2,2,2,5,11,4,4
MAIL1L7C,76,0,7,2,11,4,1,4,3,5,2,4,1,6,2
MAIL1L7N,76,0,2,11,1,3,2,3,1,3,6,4,7,5,4
MAIL1L8P,76,0,1,3,4,4,3,3,3,8,6,2,1,3,11
MAIL1LAG,76,0,2,11,1,3,3,5,2,3,2,7,6,3,4
MAIL1LBZ,76,0,6,3,11,1,3,4,4,3,4,3,2,7,1
MAIL1LEK,76,0,11,2,3,3,5,4,3,2,3,3,2,7,4
MAIL1LF6,76,0,4,4,3,3,5,2,4,7,4,11,2,2,1
MAIL1LGD,76,0,3,5,1,4,2,5,4,11,2,6,2,3,4
MAIL1LKJ,76,0,8,3,4,4,3,3,0,12,2,3,1,6,3
MAIL1LPH,76,0,2,5,11,2,1,2,3,6,3,5,2,8,2
MAIL1LYI,76,0,1,3,5,5,4,5,3,4,3,11,1,5,2
MAIL1M1M,76,0,2,11,5,4,4,3,1,4,6,2,3,3,4
MAIL1M3J,76,0,4,2,4,3,8,2,2,4,11,4,1,4,3
MAIL1M3K,76,0,5,5,2,11,5,4,2,1,5,4,2,3,3
MAIL1M5R,76,0,3,1,11,4,6,5,2,3,3,3,2,5,4
MAIL1M73,76,0,2,4,2,4,3,3,2,6,6,11,2,1,6
MAIL1MFQ,76,0,3,5,3,11,2,4,3,2,5,8,2,2,2
MAIL1MHZ,76,0,4,5,3,3,3,11,3,5,1,5,3,2,4
MAIL1ML4,76,0,3,1,7,11,4,2,2,6,2,4,2,5,3
MAIL1MLX,76,0,5,3,3,6,3,3,2,3,0,4,12,4,4
MAIL1MML,76,0,3,6,3,5,5,3,5,3,1,3,3,1,11
MAIL1MMR,76,0,4,4,5,1,11,3,3,3,7,1,5,4,1
MAIL1MMW,76,0,7,5,2,11,3,4,3,5,4,1,4,1,2
MAIL1MOA,76,0,5,3,3,2,11,3,3,2,4,3,4,1,8
MAIL1MQD,76,0,2,4,5,4,3,5,1,11,1,5,7,2,2
MAIL1MSZ,76,0,2,2,3,11,6,1,4,3,7,3,3,5,2
MAIL1MT8,76,0,4,3,4,5,11,4,1,3,2,3,3,4,5
MAIL1MTB,76,0,2,2,4,3,4,6,1,2,3,11,4,6,4
MAIL1MU9,76,0,3,11,2,3,3,2,2,3,9,3,4,4,3
MAIL1MWU,76,0,3,4,3,5,4,4,1,1,4,11,3,4,5
MAIL1N2T,76,0,4,8,1,3,2,1,4,2,3,5,5,11,3
MAIL1N9B,76,0,6,2,3,5,4,4,4,1,6,1,2,11,3
MAIL1NAN,76,0,4,3,3,2,11,2,4,5,6,1,5,4,2
MAIL1NDJ,76,0,2,3,4,4,3,2,4,3,4,11,2,5,5
MAIL1NEB,76,0,4,6,3,2,4,5,4,2,5,1,3,2,11
MAIL1NHV,76,0,4,3,11,6,1,2,2,3,4,4,5,3,4
MAIL1NJC,76,0,4,2,4,3,5,11,5,3,1,4,2,4,4
MAIL1NNR,76,0,4,2,3,4,4,3,1,5,4,4,5,11,2
MAIL1NO3,76,0,4,3,4,2,7,4,11,4,3,4,4,1,1
MAIL1NSN,76,0,3,3,2,8,4,4,11,1,2,6,1,1,6
MAIL1NSP,76,0,4,3,4,4,4,1,11,3,3,2,4,7,2
MAIL1NZ5,76,0,5,4,12,7,3,1,0,2,3,2,3,2,8
MAIL1NZA,76,0,2,5,4,3,1,2,3,4,11,8,5,2,2
MAIL1NZS,76,0,4,3,5,2,1,5,4,3,4,3,4,11,3
MAIL1O3D,76,0,1,2,3,11,4,6,2,3,3,6,2,6,3
MAIL1O66,76,0,3,3,11,4,4,2,5,5,3,3,3,2,4
MAIL1O98,76,0,2,9,5,3,5,4,2,2,3,1,2,3,11
MAIL1OAZ,76,0,7,1,3,6,7,3,11,1,4,2,2,4,1
MAIL1OFU,76,0,5,3,3,2,2,3,3,3,11,5,4,4,4
MAIL1OIL,76,0,4,11,1,1,3,10,5,1,2,5,3,3,3
MAIL1OLY,76,0,5,3,4,5,6,2,1,4,11,4,4,1,2
MAIL1ON6,76,0,8,2,11,2,5,2,3,3,1,5,4,4,2
MAIL1ONN,76,0,4,1,2,5,2,6,5,11,2,3,6,4,1
MAIL1OQB,76,0,4,1,3,3,2,3,5,2,11,4,3,7,4
MAIL1OSE,76,0,5,5,5,3,4,1,3,3,4,11,2,2,4
MAIL1OSU,76,0,3,6,3,11,3,4,1,3,3,4,2,2,7
MAIL1OU2,76,0,7,1,4,1,3,2,1,6,5,3,12,7,0
MAIL1OWF,76,0,3,2,4,3,3,5,4,2,8,3,11,3,1
MAIL1OWQ,76,0,11,4,4,3,3,4,4,1,6,1,6,2,3
MAIL1OZU,76,0,7,3,6,2,2,4,2,2,11,3,5,1,4
MAIL1P23,76,0,6,3,1,3,4,2,3,1,3,4,2,11,9
MAIL1P2Q,76,0,2,3,1,2,11,9,1,4,2,3,2,4,8
MAIL1P2Z,76,0,1,4,7,3,4,4,12,4,3,5,2,3,0
MAIL1P4A,76,0,5,12,5,3,6,4,3,3,2,0,2,5,2
MAIL1P4D,76,0,5,3,3,3,2,3,2,5,6,6,11,1,2
MAIL1P5F,76,0,6,1,3,3,6,11,2,2,3,3,7,2,3
MAIL1P98,76,0,1,4,2,3,4,11,3,4,6,5,4,3,2
MAIL1P9T,76,0,1,1,5,11,2,6,4,3,7,4,1,3,4
MAIL1PBO,76,0,5,4,11,4,2,4,2,4,3,6,2,2,3
MAIL1PDH,76,0,1,12,3,3,3,2,4,3,7,5,2,7,0
MAIL1PDN,76,0,3,8,3,5,4,3,11,2,3,5,1,3,1
MAIL1PEV,76,0,7,3,3,4,5,4,1,2,1,11,3,5,3
MAIL1PHI,76,0,1,3,10,4,6,11,3,2,2,1,2,4,3
MAIL1PJG,76,0,2,3,11,4,3,5,5,4,4,3,4,1,3
MAIL1PP1,76,0,2,6,1,6,3,5,11,1,3,1,3,6,4
MAIL1PQ5,76,0,2,11,3,2,1,4,6,2,5,2,1,6,7
MAIL1PSR,76,0,1,2,3,6,1,2,6,6,4,11,7,2,1
MAIL1PTO,76,0,6,1,1,4,4,4,3,4,11,2,3,4,5
MAIL1PUP,76,0,2,3,5,5,4,3,4,4,11,5,2,1,3
MAIL1PW7,76,0,6,11,4,3,4,3,1,3,1,3,1,6,6
MAIL1PY9,76,0,2,12,0,4,4,3,5,4,5,2,6,1,4
MAIL1Q5Z,76,0,4,3,1,4,3,2,4,4,3,11,6,4,3
MAIL1Q6N,76,0,2,3,2,4,4,4,6,11,3,3,4,3,3
MAIL1Q8C,76,0,1,5,2,2,1,6,3,3,11,3,6,4,5
MAIL1Q8R,76,0,2,11,2,6,6,3,3,2,5,1,5,3,3
MAIL1Q99,76,0,3,6,5,6,2,2,6,3,1,3,11,2,2
MAIL1QA7,76,0,4,3,3,4,0,12,2,3,5,5,2,7,2
MAIL1QC7,76,0,5,1,8,4,1,3,1,5,5,4,1,3,11
MAIL1QDM,76,0,11,1,4,2,4,3,3,8,3,4,3,1,5
MAIL1QLR,76,0,7,1,3,1,4,3,4,11,4,5,3,3,3
MAIL1QMI,76,0,2,7,2,5,2,11,4,1,4,4,3,4,3
MAIL1QNL,76,0,5,11,4,4,2,4,2,7,3,4,4,1,1
MAIL1QQB,76,0,4,2,3,3,1,4,4,4,11,5,4,6,1
MAIL1QR1,76,0,2,4,4,3,2,2,5,4,3,4,11,3,5
MAIL1QTA,76,0,1,2,4,11,3,3,4,6,5,1,5,6,1
MAIL1QUY,76,0,2,7,6,2,3,3,6,11,1,1,2,3,5
MAIL1QV1,76,0,4,13,0,4,2,8,4,4,4,0,4,2,3
MAIL1QWG,76,0,6,5,3,11,5,2,3,1,2,2,2,5,5
MAIL1R1J,76,0,2,3,2,11,3,4,2,1,3,6,5,5,5
MAIL1R3I,76,0,2,4,11,1,1,8,5,5,4,4,2,4,1
MAIL1R5I,76,0,2,3,3,2,3,2,11,7,2,2,6,5,4
MAIL1RB8,76,0,7,2,2,4,4,3,4,3,3,11,4,2,3
MAIL1RCA,76,0,11,2,3,1,4,2,4,2,5,2,5,7,4
MAIL1REH,76,0,2,3,8,3,3,3,2,3,3,11,4,4,3
MAIL1RH1,76,0,1,6,11,1,5,1,1,3,7,5,2,6,3
MAIL1RII,76,0,3,2,2,2,3,11,4,5,1,9,3,4,3
MAIL1RMN,76,0,11,2,6,2,2,3,6,4,6,2,4,1,3
MAIL1RR8,76,0,5,3,5,6,4,2,7,2,1,3,2,11,1
MAIL1RVX,76,0,5,4,4,2,3,8,4,4,2,3,1,11,1
MAIL1RWP,76,0,3,3,3,5,4,4,12,4,0,2,3,6,3
MAIL1S23,76,0,3,2,2,6,2,0,12,6,2,2,4,6,5
MAIL1S2V,76,0,3,3,6,6,1,3,2,4,4,11,2,5,2
MAIL1S46,76,0,2,6,6,3,4,4,2,1,6,2,4,1,11
MAIL1S4B,76,0,3,2,3,4,1,6,4,3,4,11,7,3,1
MAIL1S7G,76,0,1,11,3,3,4,4,2,7,4,3,3,4,3
MAIL1SAY,76,0,4,5,4,6,1,2,11,5,5,2,1,4,2
MAIL1SCU,76,0,3,4,1,1,4,5,6,3,11,5,2,6,1
MAIL1SKM,76,0,11,4,4,4,3,3,4,5,2,1,5,5,1
MAIL1SLC,76,0,7,2,1,3,1,1,7,11,7,3,2,2,5
MAIL1SOM,76,0,6,5,11,8,3,2,3,2,3,2,1,4,2
MAIL1SPK,76,0,11,6,2,2,2,5,3,3,4,3,5,3,3
MAIL1SR5,76,0,4,3,2,2,11,1,5,3,5,2,7,3,4
MAIL111M,75,0,4,2,1,2,4,6,3,7,10,5,2,4,2
MAIL111S,75,0,5,10,3,2,1,1,5,4,4,1,5,7,4
MAIL1126,75,0,5,2,0,6,5,3,3,4,5,1,4,11,3
MAIL112H,75,0,6,4,6,5,2,1,2,1,4,4,2,10,5
MAIL112I,75,0,4,3,2,10,3,6,5,5,4,1,3,4,2
MAIL1145,75,0,2,6,4,1,5,10,2,3,3,5,5,2,4
MAIL1148,75,0,3,1,1,5,6,4,10,5,2,2,7,4,2
MAIL114F,75,0,5,3,5,2,1,7,2,5,2,3,10,3,4
MAIL1154,75,0,4,4,10,3,2,2,4,2,3,4,3,6,5
MAIL1159,75,0,3,2,7,5,4,4,1,5,1,2,10,3,5
MAIL115F,75,0,1,1,4,2,3,8,5,3,10,5,6,3,1
MAIL117R,75,0,3,4,10,3,7,1,4,4,5,1,4,3,3
MAIL1183,75,0,3,2,4,3,3,4,4,10,2,5,1,5,6
MAIL1184,75,0,2,10,1,5,2,6,4,4,2,6,2,4,4
MAIL11A2,75,0,5,3,10,2,2,2,1,7,7,5,3,4,1
MAIL11AP,75,0,4,3,2,3,10,3,5,6,2,3,4,2,5
MAIL11BU,75,0,2,10,4,6,6,2,2,6,5,3,1,1,4
MAIL11C3,75,0,0,4,11,5,5,5,5,1,3,4,3,3,3
MAIL11D4,75,0,3,2,5,1,4,4,6,10,2,6,5,2,2
MAIL11D9,75,0,4,10,2,4,6,3,4,2,8,2,3,2,2
MAIL11DE,75,0,4,3,6,10,5,1,4,2,4,3,3,2,5
MAIL11DK,75,0,4,2,6,6,4,2,4,10,3,4,3,1,3
MAIL11EH,75,0,5,2,3,3,1,2,1,11,6,8,5,5,0
MAIL11ET,75,0,3,4,6,4,4,1,1,5,5,3,10,4,2
MAIL11F9,75,0,6,4,4,10,5,4,2,2,4,4,4,1,2
MAIL11GD,75,0,5,5,3,5,0,11,4,2,2,6,4,2,3
MAIL11HB,75,0,6,3,5,6,2,2,5,3,3,3,2,10,2
MAIL11HM,75,0,10,1,3,1,4,6,4,5,1,6,3,6,2
MAIL11I3,75,0,2,4,6,11,2,2,3,8,3,3,0,2,6
MAIL11IK,75,0,3,1,4,3,3,3,4,6,3,5,3,10,4
MAIL11JH,75,0,4,3,2,2,3,4,1,10,5,3,3,6,6
MAIL11K1,75,0,2,10,2,3,3,5,4,3,5,4,5,2,4
MAIL11KV,75,0,4,2,2,5,1,5,4,5,6,3,10,4,1
MAIL11LV,75,0,7,2,3,2,6,3,4,10,2,1,3,6,3
MAIL11MQ,75,0,10,2,5,4,3,4,4,2,5,1,3,7,2
MAIL11NG,75,0,10,4,5,2,1,3,2,5,3,3,4,6,4
MAIL11NI,75,0,1,1,4,2,5,2,5,3,5,3,7,10,4
MAIL11OE,75,0,4,2,5,2,3,5,10,4,5,3,3,3,3
MAIL11OM,75,0,3,7,4,5,4,1,4,4,10,2,2,3,3
MAIL11OO,75,0,3,2,4,10,3,3,4,4,4,3,5,6,1
MAIL11P5,75,0,3,3,2,3,5,5,4,1,10,4,2,4,6
MAIL11PK,75,0,5,3,1,2,4,6,2,10,5,4,3,3,4
MAIL11PL,75,0,4,1,7,2,2,3,3,4,5,5,5,10,1
MAIL11S1,75,0,3,5,3,5,3,5,3,2,1,2,10,6,4
MAIL11SM,75,0,4,10,2,3,1,2,5,4,2,4,4,5,6
MAIL11T5,75,0,2,6,5,2,4,2,10,2,3,5,3,3,5
MAIL11T6,75,0,4,2,6,3,8,6,1,1,3,11,0,2,5
MAIL11VL,75,0,3,3,2,5,5,1,2,6,2,6,2,5,10
MAIL11WG,75,0,5,5,2,3,3,4,3,10,3,4,2,4,4
MAIL11WN,75,0,3,5,2,4,2,6,1,5,6,2,3,3,10
MAIL11YE,75,0,2,6,4,3,10,4,4,4,4,2,3,4,2
MAIL11ZB,75,0,1,3,2,10,3,1,6,2,4,3,6,5,6
MAIL11ZY,75,0,5,3,4,8,4,3,3,2,2,10,2,4,2
MAIL1212,75,0,3,4,3,5,10,3,3,3,3,2,3,2,8
MAIL1219,75,0,4,1,5,1,5,4,4,4,2,2,10,3,7
MAIL121W,75,0,4,7,0,1,1,5,4,11,2,4,5,4,4
MAIL1227,75,0,2,2,3,6,7,3,3,3,3,5,10,3,2
MAIL122A,75,0,4,10,4,3,2,7,1,3,2,1,4,6,5
MAIL122X,75,0,1,4,2,5,10,6,4,4,5,2,2,3,4
MAIL1238,75,0,5,6,4,1,4,4,1,10,7,4,2,2,2
MAIL123S,75,0,2,3,4,10,2,7,4,6,2,3,2,4,3
MAIL123X,75,0,2,11,5,1,2,6,5,6,5,4,3,0,2
MAIL1243,75,0,2,6,4,1,6,1,5,1,7,5,3,1,10
MAIL1246,75,0,4,10,4,4,5,1,2,4,4,5,4,4,1
MAIL126T,75,0,4,2,10,5,6,4,2,5,4,4,2,2,2
MAIL1279,75,0,3,2,5,10,3,2,2,7,5,3,3,3,4
MAIL127B,75,0,1,5,4,2,4,4,3,4,2,4,4,10,5
MAIL127D,75,0,10,6,4,5,4,2,1,4,2,3,5,4,2
MAIL128K,75,0,10,4,4,5,3,4,3,3,5,3,3,1,4
MAIL12C1,75,0,8,3,1,5,2,2,3,4,10,2,6,2,4
MAIL12CN,75,0,5,3,4,2,5,3,10,2,3,2,5,3,5
MAIL12CY,75,0,4,6,1,3,10,4,2,2,3,7,4,2,4
MAIL12D4,75,0,4,1,3,1,4,5,4,3,3,2,8,4,10
MAIL12DE,75,0,3,2,5,5,4,10,2,5,4,1,4,3,4
MAIL12EE,75,0,3,2,3,8,2,3,10,5,1,6,5,1,3
MAIL12H7,75,0,2,10,1,4,7,4,3,3,4,7,1,1,5
MAIL12HE,75,0,5,3,10,6,4,3,2,1,3,3,2,3,7
MAIL12IB,75,0,3,10,3,2,1,4,3,3,1,10,6,3,3
MAIL12JM,75,0,3,10,2,3,4,3,6,3,7,3,2,4,2
MAIL12KR,75,0,4,1,6,3,7,2,3,10,1,3,5,1,6
MAIL12M3,75,0,3,1,2,1,2,3,5,6,10,3,5,8,3
MAIL12MA,75,0,2,2,4,2,2,6,6,2,5,3,10,4,4
MAIL12PG,75,0,1,2,4,5,5,1,4,3,1,5,4,10,7
MAIL12PJ,75,0,10,3,1,4,3,2,6,3,2,5,5,5,3
MAIL12PK,75,0,4,3,5,5,10,1,4,3,6,5,2,3,1
MAIL12Q1,75,0,4,3,4,3,2,4,6,3,4,4,4,1,10
MAIL12S1,75,0,5,6,3,10,3,2,2,3,5,6,2,3,2
MAIL12TW,75,0,3,6,5,2,6,2,3,11,3,0,2,3,6
MAIL12U6,75,0,2,6,10,3,6,2,3,4,3,1,6,2,4
MAIL12UH,75,0,4,3,6,5,3,6,5,10,1,2,1,4,2
MAIL12W2,75,0,3,2,3,3,5,10,2,3,7,2,5,4,3
MAIL12WC,75,0,2,4,6,3,3,7,3,2,3,6,2,10,1
MAIL12X5,75,0,5,4,2,4,10,4,4,1,3,5,2,5,3
MAIL12Y2,75,0,3,2,7,11,1,3,8,1,4,6,5,1,0
MAIL12Z2,75,0,3,10,2,1,2,5,6,2,4,5,5,2,5
MAIL12Z4,75,0,3,7,2,4,2,4,3,3,2,5,3,10,4
MAIL12ZE,75,0,5,4,0,4,1,3,7,2,4,11,4,3,4
MAIL12ZP,75,0,7,3,3,2,1,4,3,10,5,4,3,4,3
MAIL131K,75,0,2,6,3,5,2,4,3,3,5,3,3,10,3
MAIL131L,75,0,3,3,2,6,5,7,3,1,4,4,3,0,11
MAIL131Z,75,0,3,2,5,2,1,4,2,5,4,10,4,5,5
MAIL132A,75,0,7,2,10,1,1,5,4,7,2,2,5,2,4
MAIL133J,75,0,4,2,4,4,2,10,5,6,3,6,2,2,2
MAIL134C,75,0,10,3,2,4,2,3,1,4,3,2,7,8,3
MAIL134K,75,0,5,2,5,2,6,3,5,1,3,3,10,2,5
MAIL134V,75,0,2,7,2,3,2,6,2,5,3,3,10,3,4
MAIL135I,75,0,3,2,3,10,3,8,2,2,2,5,4,3,5
MAIL1387,75,0,4,1,4,3,5,1,10,5,5,2,5,3,4
MAIL138S,75,0,3,4,4,2,10,3,2,3,2,1,7,5,6
MAIL139O,75,0,10,6,1,5,5,2,4,5,5,1,3,3,2
MAIL13BN,75,0,7,2,4,4,3,10,4,4,2,4,4,1,3
MAIL13C2,75,0,1,3,6,5,2,2,3,5,4,1,10,5,5
MAIL13E7,75,0,2,3,1,2,9,10,5,7,2,1,4,3,3
MAIL13EX,75,0,2,7,4,10,4,1,2,6,1,3,3,6,3
MAIL13FU,75,0,2,2,3,4,5,4,3,5,3,7,10,3,1
MAIL13H9,75,0,4,4,6,3,4,1,4,4,2,1,5,4,10
MAIL13JC,75,0,2,1,3,4,3,10,6,6,4,2,5,4,2
MAIL13JL,75,0,5,1,3,4,3,4,6,10,1,6,2,4,3
MAIL13JV,75,0,2,2,8,0,1,6,4,3,3,3,4,5,11
MAIL13JY,75,0,3,4,7,2,3,5,10,1,2,2,4,7,2
MAIL13LM,75,0,3,3,2,2,5,2,3,6,10,3,7,4,2
