Seed,Score,Natural Negative Jokers,Natural Negative Jokers Desired,Turtle Bean,Joker Stencil,Negative_Joker Stencil,Oops All 6s,Negative_Oops All 6s
LMAO4HU,7,0,2,0,1,1,0,0
LMAO4JOY,7,0,2,0,1,1,0,0
LMAO4LWU,7,0,2,0,0,1,0,1
LMAO4MU3,7,1,1,0,1,1,0,0
LMAO4O5S,7,0,2,0,0,1,0,1
LMAO4RJT,7,0,2,0,0,1,0,1
LMAO4SO2,7,0,2,0,1,1,0,0
LMAO4SQ6,7,0,2,0,1,1,0,0
LMAO4T9N,7,0,2,0,1,0,0,1
LMAO4UFC,7,0,2,0,0,1,0,1
LMAO4XC5,7,1,2,0,0,0,0,2
LMAO4XXK,7,0,2,0,1,0,0,1
LMAO59BV,7,0,2,0,1,0,0,1
LMAO5AIF,7,1,2,0,2,0,0,0
LMAO5FXN,7,0,2,0,0,1,0,1
LMAO5G63,7,0,2,0,1,1,0,0
LMAO5JIJ,7,0,2,0,1,0,0,1
LMAO5LWS,7,0,2,0,0,1,0,1
LMAO5PI6,7,0,2,0,0,1,0,1
LMAO618R,7,0,2,0,1,0,0,1
LMAO6CA,7,1,1,0,0,1,0,1
LMAO6PR,7,0,2,0,1,1,0,0
LMAO9SE,7,0,2,0,0,1,0,1
LMAOCED,7,0,2,0,1,1,0,0
LMAOEGW,7,0,2,0,0,1,0,1
LMAOFM5,7,0,2,0,1,0,0,1
LMAOJL2,7,0,3,0,0,2,0,0
LMAOLMC,7,0,2,0,1,1,0,0
ROFL18SR,7,0,1,0,2,0,0,1
ROFL1ANB,7,0,2,0,0,1,0,1
ROFL1APV,7,0,2,0,1,0,0,1
ROFL1FBL,7,0,2,0,1,0,0,1
ROFL1GN3,7,0,2,0,1,0,0,1
ROFL1IIN,7,1,2,0,0,0,0,2
ROFL1MG1,7,0,2,0,1,0,0,1
ROFL1PE2,7,0,2,0,1,1,0,0
ROFL1UQU,7,0,2,0,0,1,0,1
ROFL1Y8L,7,1,1,0,1,0,0,1
ROFL2395,7,0,2,0,0,1,0,1
ROFL23OK,7,0,2,0,1,0,0,1
ROFL24S2,7,0,2,0,1,0,0,1
ROFL276O,7,0,2,0,1,1,0,0
ROFL2A5Q,7,0,2,0,0,1,0,1
ROFL2APH,7,0,2,0,0,1,0,1
ROFL2B8M,7,0,2,0,0,1,0,1
ROFL2E2K,7,0,2,0,1,0,0,1
ROFL2OCC,7,1,1,0,1,1,0,0
ROFL2P36,7,0,2,0,1,0,0,1
ROFL2TZ,7,0,2,0,1,1,0,0
ROFL2XYX,7,0,2,0,1,1,0,0
ROFL3377,7,1,2,0,0,2,0,0
ROFL39I3,7,0,2,0,0,1,0,1
ROFL39N5,7,0,2,0,1,1,0,0
ROFL3B9K,7,0,2,0,1,1,0,0
ROFL3CZU,7,0,2,0,1,0,0,1
ROFL3DEX,7,0,1,0,2,1,0,0
ROFL3EAZ,7,1,1,0,1,0,0,1
ROFL3ENX,7,0,2,0,1,1,0,0
ROFL3GVX,7,0,2,0,1,0,0,1
ROFL3I16,7,1,2,0,0,0,0,2
ROFL3Q6D,7,0,2,0,1,1,0,0
ROFL3Q81,7,1,2,0,0,2,0,0
ROFL3SVQ,7,0,2,0,1,0,0,1
ROFL3TAL,7,0,2,0,0,1,0,1
ROFL3UVN,7,1,2,0,0,2,0,0
ROFL3X23,7,0,2,0,0,1,0,1
ROFL3Y42,7,0,2,0,0,1,0,1
ROFL44UB,7,2,2,0,0,1,0,0
ROFL48FK,7,1,1,0,1,1,0,0
ROFL4ANY,7,0,2,0,0,1,0,1
ROFL4GR2,7,0,2,0,0,3,0,0
ROFL4IHU,7,0,2,0,1,0,0,1
ROFL4IRA,7,0,2,0,0,1,0,1
ROFL4JQY,7,0,2,0,0,1,0,1
ROFL4ORA,7,0,2,0,0,1,0,1
ROFL4UD4,7,0,2,0,1,1,0,0
ROFL4WB1,7,1,2,0,2,0,0,0
ROFL4YCA,7,0,2,0,0,1,0,1
ROFL52GZ,7,0,2,0,1,0,0,1
ROFL56D4,7,0,2,0,0,1,0,1
ROFL594D,7,0,2,0,1,0,0,1
ROFL5C1W,7,0,2,0,1,1,0,0
ROFL5DBV,7,0,2,0,0,1,0,1
ROFL5EAZ,7,0,2,0,1,1,0,0
ROFL5H9F,7,0,2,0,0,1,0,1
ROFL5JT6,7,0,2,0,1,0,0,1
ROFL5KJA,7,0,2,0,1,1,0,0
ROFL5LY,7,0,2,0,1,1,0,0
ROFL5M1I,7,0,2,0,1,0,0,1
ROFL5M27,7,0,2,0,1,0,0,1
ROFL5M6K,7,0,2,0,1,1,0,0
ROFL5NRQ,7,0,2,0,1,1,0,0
ROFL5OCQ,7,0,2,0,0,1,0,1
ROFL5TD6,7,0,2,0,1,1,0,0
ROFL5TGM,7,0,2,0,3,0,0,0
ROFL5V2Y,7,0,2,0,0,1,0,1
ROFL5WEU,7,0,2,0,0,1,0,1
ROFL62F8,7,0,2,0,1,1,0,0
ROFL68GH,7,1,1,0,0,1,0,1
ROFL696X,7,0,2,0,1,0,0,1
ROFL69E2,7,0,2,0,1,0,0,1
ROFL6AR7,7,0,2,0,0,1,0,1
ROFL6AR9,7,1,1,0,0,0,0,1
ROFL73W,7,0,2,0,1,1,0,0
ROFL8LS,7,0,2,0,1,1,0,0
ROFLAXS,7,0,2,0,3,0,0,0
ROFLB7I,7,0,2,0,1,1,0,0
ROFLBEJ,7,0,2,0,1,1,0,0
ROFLD93,7,0,2,0,0,1,0,1
ROFLG9Y,7,0,2,0,1,1,0,0
ROFLGJR,7,0,2,0,1,1,0,0
ROFLJ9,7,0,2,0,1,0,0,1
1HAHA4I5,6,0,1,0,1,0,0,1
1HAHA7M2,6,0,2,0,2,0,0,0
1HAHAB5K,6,1,2,0,0,0,0,1
1HAHAGGT,6,1,2,0,1,0,0,0
1HAHAO6,6,0,1,0,1,1,0,0
1LMAO14L,6,0,1,0,0,1,0,1
1LMAO8GZ,6,0,1,0,1,0,0,1
1LMAOFYE,6,0,2,0,0,2,0,0
1LMAOKCU,6,1,0,0,0,1,0,1
1ROFL8G9,6,0,1,0,1,1,0,0
1ROFLEO1,6,0,2,0,2,0,0,0
1ROFLGZP,6,0,1,0,1,1,0,0
1ROFLI1G,6,1,1,0,0,0,0,2
1ROFLI4G,6,0,2,0,2,0,0,0
HAHA117U,6,0,2,0,2,0,0,0
HAHA13RT,6,0,1,0,1,1,0,0
HAHA18,6,0,1,0,0,1,0,1
HAHA193I,6,0,2,0,0,2,0,0
HAHA1B2A,6,0,2,0,0,0,0,2
HAHA1BZQ,6,1,2,0,1,0,0,0
HAHA1CGY,6,1,2,0,1,0,0,0
HAHA1CXY,6,0,1,0,0,1,0,1
HAHA1E5C,6,1,2,0,0,0,0,1
HAHA1JRP,6,1,2,0,0,0,0,1
HAHA1MZE,6,0,1,0,0,1,0,1
HAHA1YON,6,0,2,0,2,0,0,0
HAHA21RS,6,0,1,0,0,1,0,1
HAHA25FZ,6,0,2,0,0,2,0,0
HAHA263,6,0,1,0,1,0,0,1
HAHA2EGP,6,2,1,0,0,1,0,0
HAHA2HBN,6,1,2,0,0,1,0,0
HAHA2IG4,6,0,2,0,0,2,0,0
HAHA2ZZV,6,0,2,0,2,0,0,0
HAHA38GG,6,0,1,0,0,3,0,0
HAHA3BHM,6,1,2,0,0,1,0,0
HAHA3QCB,6,0,1,0,1,1,0,0
HAHA3USB,6,0,2,0,2,0,0,0
HAHA4142,6,1,2,0,0,0,0,1
HAHA44KJ,6,0,1,0,1,1,0,0
HAHA465I,6,0,1,0,1,0,0,1
HAHA46FZ,6,2,1,0,0,0,0,1
HAHA4DWT,6,0,1,0,1,1,0,0
HAHA4F3Q,6,0,2,0,0,2,0,0
HAHA4KVB,6,0,1,0,0,1,0,1
HAHA4VEV,6,0,1,0,1,0,0,1
HAHA53YA,6,0,1,0,1,1,0,0
HAHA545B,6,2,1,0,0,0,0,1
HAHA5CFO,6,0,2,0,0,0,0,2
HAHA5CUV,6,1,2,0,0,1,0,0
HAHA5DAO,6,2,1,0,0,1,0,0
HAHA5J9L,6,0,1,0,1,0,0,1
HAHA5LKA,6,0,1,0,1,0,0,1
HAHA5LTY,6,0,1,0,1,1,0,0
HAHA5TX9,6,0,2,0,2,0,0,0
HAHA5VSR,6,0,2,0,0,2,0,0
HAHA5XO4,6,0,2,0,0,0,0,2
HAHA5Z7P,6,1,1,0,0,0,0,2
HAHA648J,6,0,2,0,0,0,0,2
HAHA66KX,6,0,2,0,0,2,0,0
HAHA67AL,6,2,1,0,1,0,0,0
HAHA6AOO,6,0,1,0,1,1,0,0
HAHA6B93,6,0,1,0,0,1,0,1
HAHAK6S,6,0,2,0,2,0,0,0
JOKE3YS,6,0,2,0,2,0,0,0
JOKEFRN,6,0,1,0,1,0,0,1
JOKEGSF,6,1,2,0,0,1,0,0
LMAO127W,6,0,2,0,2,0,0,0
LMAO12JT,6,1,1,0,0,2,0,0
LMAO17EH,6,0,1,0,0,1,0,1
LMAO1AMD,6,0,1,0,1,1,0,0
LMAO1J6W,6,0,1,0,0,1,0,1
LMAO1LU1,6,1,2,0,1,0,0,0
LMAO1M8D,6,0,1,0,0,1,0,1
LMAO1W23,6,0,1,0,1,0,0,1
LMAO22FX,6,0,2,0,2,0,0,0
LMAO23ZR,6,1,2,0,0,1,0,0
LMAO254,6,0,2,0,0,0,0,2
LMAO28W5,6,0,2,0,0,0,0,2
LMAO3165,6,0,1,0,0,1,0,1
LMAO32HV,6,2,1,0,0,0,0,1
LMAO36K,6,0,2,0,0,2,0,0
LMAO3BN9,6,0,2,0,0,0,0,2
LMAO3SLX,6,0,1,0,1,0,0,1
LMAO4F25,6,0,1,0,1,0,0,1
LMAO4RJR,6,1,2,0,0,1,0,0
LMAO51GE,6,0,1,0,1,1,0,0
LMAO52UW,6,0,1,0,1,1,0,0
LMAO56HU,6,0,2,0,0,0,0,2
LMAO59N5,6,2,1,0,0,0,0,1
LMAO5BPH,6,0,1,0,1,0,0,1
LMAO5G8J,6,0,1,0,1,1,0,0
LMAO5H1T,6,2,1,0,1,0,0,0
LMAO5MQ9,6,1,1,0,2,0,0,0
LMAO5SAO,6,2,1,0,1,0,0,0
LMAO5VVB,6,0,1,0,1,0,0,1
LMAOCEN,6,0,1,0,1,0,0,1
LMAOEDU,6,1,0,0,1,0,0,1
LMAOHYW,6,0,2,0,0,2,0,0
LMAOINC,6,0,1,0,1,0,0,1
LMAOIXG,6,0,1,0,1,1,0,0
ROFL18EE,6,0,1,0,0,1,0,1
ROFL1NQL,6,0,1,0,0,1,0,1
ROFL1SMC,6,0,1,0,1,1,0,0
ROFL2FPK,6,1,2,0,0,0,0,1
ROFL2FQJ,6,0,2,0,0,0,0,2
ROFL2IL2,6,1,1,0,2,0,0,0
ROFL2NI7,6,1,0,0,0,1,0,1
ROFL2OQV,6,0,2,0,0,0,0,2
ROFL2P95,6,2,1,0,0,1,0,0
ROFL2T35,6,0,1,0,0,1,0,1
ROFL2TIJ,6,2,1,0,0,1,0,0
ROFL2V9,6,1,2,0,0,1,0,0
ROFL2Y4D,6,0,2,0,0,0,0,2
ROFL31P6,6,0,2,0,0,0,0,2
ROFL3523,6,1,2,0,1,0,0,0
ROFL381G,6,0,1,0,0,1,0,1
ROFL392U,6,0,2,0,0,2,0,0
ROFL3CIS,6,0,1,0,1,1,0,0
ROFL3H32,6,1,2,0,0,0,0,1
ROFL3JTN,6,2,1,0,0,1,0,0
ROFL3LB9,6,0,1,0,1,0,0,1
ROFL3QV9,6,2,1,0,0,0,0,1
ROFL3RKK,6,0,1,0,1,1,0,0
ROFL413R,6,0,2,0,0,2,0,0
ROFL4CVO,6,0,1,0,1,0,0,1
ROFL4E2R,6,0,1,0,1,0,0,1
ROFL4EZ7,6,0,1,0,0,1,0,1
ROFL4F4G,6,0,1,0,0,1,0,1
ROFL4FZ2,6,0,2,0,2,0,0,0
ROFL4MWU,6,1,2,0,1,0,0,0
ROFL4SER,6,0,1,0,0,1,0,1
ROFL4SH6,6,0,1,0,1,0,0,1
ROFL4UD,6,1,2,0,0,1,0,0
ROFL4WU3,6,0,1,0,0,1,0,1
ROFL51H2,6,0,1,0,0,1,0,1
ROFL52DE,6,0,1,0,1,0,0,1
ROFL5E3T,6,1,2,0,0,1,0,0
ROFL5EEC,6,0,2,0,2,0,0,0
ROFL5IWI,6,1,1,0,0,2,0,0
ROFL5MTH,6,1,2,0,1,0,0,0
ROFL5OJR,6,0,1,0,0,1,0,1
ROFL5OTB,6,2,1,0,0,1,0,0
ROFL5WZS,6,0,2,0,2,0,0,0
ROFL69L5,6,0,2,0,0,2,0,0
ROFL7LP,6,0,2,0,2,0,0,0
1HAHA1J,5,1,1,0,1,0,0,0
1HAHA2AW,5,0,1,0,0,2,0,0
1HAHA6D4,5,1,1,0,0,0,0,1
1HAHABSY,5,0,2,0,0,1,0,0
1LMAO6CS,5,1,1,0,0,0,0,1
1LMAO6MU,5,1,1,0,1,0,0,0
1LMAOB89,5,1,1,0,0,1,0,0
1ROFL1HL,5,1,1,0,0,0,0,1
1ROFL1X8,5,0,1,0,2,0,0,0
1ROFL2SG,5,1,1,0,1,0,0,0
1ROFL3O3,5,1,1,0,0,0,0,1
1ROFL433,5,1,1,0,1,0,0,0
1ROFL4JK,5,0,2,0,0,0,0,1
1ROFL5TW,5,1,1,0,1,0,0,0
1ROFL65P,5,1,1,0,0,1,0,0
1ROFL6F9,5,0,2,0,0,0,0,1
1ROFLE28,5,1,1,0,0,0,0,1
1ROFLKY9,5,1,1,0,0,0,0,1
HAHA1AO9,5,0,2,0,1,0,0,0
HAHA1B71,5,0,1,0,0,0,0,2
HAHA1B9C,5,1,1,0,1,0,0,0
HAHA1DLB,5,2,0,0,0,1,0,0
HAHA1KMW,5,0,2,0,1,0,0,0
HAHA1OLM,5,0,2,0,0,0,0,1
HAHA1QYA,5,0,1,0,2,0,0,0
HAHA1R8X,5,1,1,0,0,0,0,1
HAHA1UQQ,5,1,1,0,0,0,0,1
HAHA1ZYZ,5,1,1,0,0,1,0,0
HAHA21L9,5,1,1,0,0,1,0,0
HAHA294H,5,1,1,0,0,1,0,0
HAHA29DI,5,1,1,0,0,0,0,1
HAHA2API,5,0,0,0,1,0,0,1
HAHA2ERS,5,1,1,0,0,1,0,0
HAHA2GYC,5,1,1,0,1,0,0,0
HAHA2IW6,5,0,2,0,0,1,0,0
HAHA2RSI,5,1,1,0,0,0,0,1
HAHA2VWQ,5,1,1,0,0,1,0,0
HAHA2WEL,5,1,1,0,0,1,0,0
HAHA318F,5,1,1,0,0,0,0,1
HAHA367Q,5,1,1,0,0,1,0,0
HAHA36P7,5,0,1,0,0,2,0,0
HAHA386V,5,0,2,0,0,1,0,0
HAHA39LF,5,0,2,0,0,1,0,0
HAHA3AC3,5,0,1,0,0,2,0,0
HAHA3BA1,5,1,1,0,1,0,0,0
HAHA3BJU,5,0,2,0,0,0,0,1
HAHA3BR2,5,0,2,0,0,0,0,1
HAHA3CNC,5,2,0,0,1,0,0,0
HAHA3CQ4,5,1,1,0,0,0,0,1
HAHA3EXW,5,0,2,0,0,0,0,1
HAHA3GQW,5,1,1,0,0,0,0,1
HAHA3IDV,5,1,1,0,1,0,0,0
HAHA3K33,5,0,2,0,1,0,0,0
HAHA3L48,5,0,0,0,1,0,0,1
HAHA3QB4,5,1,1,0,0,0,0,1
HAHA3S21,5,1,1,0,1,0,0,0
HAHA3X8M,5,0,2,0,0,0,0,1
HAHA43FH,5,1,1,0,1,0,0,0
HAHA48G6,5,0,1,0,0,2,0,0
HAHA49I,5,1,1,0,0,0,0,1
HAHA4A9R,5,1,1,0,0,0,0,1
HAHA4D7H,5,0,2,0,1,0,0,0
HAHA4DTQ,5,1,1,0,0,1,0,0
HAHA4HQV,5,1,1,0,1,0,0,0
HAHA4JNC,5,1,1,0,1,0,0,0
HAHA4QKC,5,0,1,0,0,2,0,0
HAHA4V9N,5,0,1,0,2,0,0,0
HAHA51XH,5,1,1,0,0,0,0,1
HAHA53IH,5,0,0,0,1,1,0,0
HAHA53PY,5,1,1,0,0,1,0,0
HAHA54HA,5,1,1,0,0,0,0,1
HAHA54QR,5,1,1,0,1,0,0,0
HAHA5FLG,5,0,2,0,1,0,0,0
HAHA5G2C,5,1,1,0,0,0,0,1
HAHA5GKP,5,0,2,0,0,0,0,1
HAHA5NHQ,5,0,2,0,1,0,0,0
HAHA5QSB,5,0,0,0,1,1,0,0
HAHA5U34,5,1,1,0,1,0,0,0
HAHA5ZZ6,5,1,1,0,1,0,0,0
HAHA63WX,5,0,2,0,0,1,0,0
HAHA64TA,5,1,1,0,1,0,0,0
HAHA64YE,5,1,1,0,0,0,0,1
HAHA65L,5,0,2,0,0,1,0,0
HAHA66B3,5,1,1,0,0,1,0,0
HAHA69SR,5,1,1,0,0,1,0,0
HAHAKIK,5,1,1,0,0,0,0,1
JOKE6GI,5,1,1,0,0,0,0,1
JOKEADE,5,0,1,0,0,0,0,2
JOKEASS,5,0,2,0,0,1,0,0
JOKEFC5,5,1,1,0,0,1,0,0
JOKEHBQ,5,1,1,0,1,0,0,0
JOKEIHR,5,0,2,0,0,0,0,1
JOKEIT1,5,1,1,0,1,0,0,0
LMAO16YG,5,0,1,0,0,0,0,2
LMAO1ASA,5,1,1,0,0,1,0,0
LMAO1C43,5,1,1,0,0,1,0,0
LMAO1ECE,5,1,1,0,1,0,0,0
LMAO1G2G,5,1,1,0,0,1,0,0
LMAO1HQ8,5,1,1,0,1,0,0,0
LMAO1PJ1,5,1,1,0,1,0,0,0
LMAO1RQ9,5,1,1,0,0,1,0,0
LMAO1SLY,5,1,1,0,0,1,0,0
LMAO224R,5,1,1,0,0,0,0,1
LMAO234D,5,1,1,0,1,0,0,0
LMAO25CD,5,0,2,0,0,1,0,0
LMAO25XZ,5,0,0,0,1,0,0,1
LMAO2CDP,5,0,1,0,2,0,0,0
LMAO2CJI,5,0,0,0,1,0,0,1
LMAO2E8F,5,1,1,0,0,0,0,1
LMAO2EHA,5,0,2,0,0,0,0,1
LMAO2H9X,5,0,0,0,1,0,0,1
LMAO2QIX,5,0,2,0,0,1,0,0
LMAO2QQH,5,0,2,0,1,0,0,0
LMAO2SE5,5,1,1,0,0,1,0,0
LMAO32SK,5,0,2,0,0,0,0,1
LMAO33RF,5,1,1,0,0,0,0,1
LMAO36IX,5,1,1,0,0,1,0,0
LMAO3BEB,5,0,2,0,0,1,0,0
LMAO3CKL,5,1,1,0,1,0,0,0
LMAO3GWD,5,0,1,0,2,0,0,0
LMAO3HDG,5,1,1,0,1,0,0,0
LMAO3I1X,5,0,2,0,0,1,0,0
LMAO3JP1,5,0,1,0,0,0,0,2
LMAO3L2K,5,1,1,0,0,1,0,0
LMAO3M53,5,1,1,0,1,0,0,0
LMAO3OA3,5,1,1,0,0,1,0,0
LMAO3P7X,5,1,1,0,1,0,0,0
LMAO3QBU,5,0,0,0,0,1,0,1
LMAO3UD5,5,0,0,0,1,0,0,1
LMAO3XAQ,5,0,2,0,0,1,0,0
LMAO3XQQ,5,0,2,0,1,0,0,0
LMAO3Y8H,5,1,1,0,0,1,0,0
LMAO44PX,5,1,1,0,0,0,0,1
LMAO44V7,5,1,1,0,1,0,0,0
LMAO45WJ,5,1,1,0,0,0,0,1
LMAO48Z8,5,0,2,0,0,0,0,1
LMAO4A9E,5,1,1,0,1,0,0,0
LMAO4C2D,5,0,1,0,0,2,0,0
LMAO4CAO,5,0,0,0,1,0,0,1
LMAO4CRS,5,0,2,0,0,1,0,0
LMAO4GMC,5,1,1,0,0,1,0,0
LMAO4LZ5,5,1,1,0,0,0,0,1
LMAO4NC3,5,1,1,0,0,0,0,1
LMAO4Q3D,5,1,1,0,0,1,0,0
LMAO55FG,5,1,1,0,1,0,0,0
LMAO5683,5,1,1,0,1,0,0,0
LMAO5BQ6,5,1,1,0,1,0,0,0
LMAO5CWW,5,0,1,0,0,0,0,2
LMAO5I8Z,5,1,1,0,1,0,0,0
LMAO5JTU,5,1,1,0,0,0,0,1
LMAO5LYH,5,0,2,0,0,0,0,1
LMAO5NJR,5,0,2,0,0,0,0,1
LMAO5PGI,5,1,1,0,0,1,0,0
LMAO5US7,5,1,1,0,0,1,0,0
LMAO5XHD,5,1,1,0,0,1,0,0
LMAO5YKC,5,1,1,0,0,1,0,0
LMAO5ZE6,5,1,1,0,1,0,0,0
LMAO5ZTO,5,1,1,0,1,0,0,0
LMAO64SW,5,0,2,0,1,0,0,0
LMAO64X7,5,1,1,0,0,1,0,0
LMAO657Y,5,0,1,0,0,2,0,0
LMAO65EF,5,1,1,0,0,0,0,1
LMAO6BBG,5,1,1,0,1,0,0,0
LMAO6BZD,5,1,1,0,0,1,0,0
LMAO8XD,5,0,2,0,0,0,0,1
LMAOAWX,5,0,1,0,2,0,0,0
LMAOE5L,5,1,1,0,1,0,0,0
LMAOHLY,5,0,1,0,0,2,0,0
LMAOKXI,5,0,2,0,1,0,0,0
ROFL11VK,5,1,1,0,1,0,0,0
ROFL1983,5,0,1,0,0,2,0,0
ROFL19HL,5,0,2,0,0,0,0,1
ROFL1A9J,5,1,1,0,0,0,0,1
ROFL1LVD,5,1,1,0,0,0,0,1
ROFL1Q68,5,0,2,0,0,0,0,1
ROFL1T2T,5,1,1,0,0,1,0,0
ROFL1VHS,5,0,1,0,0,2,0,0
ROFL22KZ,5,1,1,0,0,0,0,1
ROFL29S2,5,1,1,0,0,1,0,0
ROFL2BQG,5,1,1,0,0,1,0,0
ROFL2C7E,5,1,1,0,0,1,0,0
ROFL2DQN,5,0,2,0,0,0,0,1
ROFL2EID,5,1,1,0,0,1,0,0
ROFL2GJJ,5,0,0,0,0,1,0,1
ROFL2NCZ,5,1,1,0,0,0,0,1
ROFL2P57,5,0,2,0,0,1,0,0
ROFL2SDU,5,1,1,0,0,0,0,1
ROFL2W5M,5,0,2,0,0,1,0,0
ROFL2ZB5,5,0,2,0,0,0,0,1
ROFL33IY,5,0,1,0,0,0,0,2
ROFL35X4,5,1,1,0,1,0,0,0
ROFL3AFH,5,1,1,0,0,1,0,0
ROFL3AYF,5,0,2,0,0,1,0,0
ROFL3F9R,5,0,2,0,0,0,0,1
ROFL3FO9,5,1,1,0,0,1,0,0
ROFL3HED,5,1,1,0,0,0,0,1
ROFL3IG5,5,1,1,0,1,0,0,0
ROFL3JGI,5,1,1,0,1,0,0,0
ROFL3LDM,5,0,1,0,0,2,0,0
ROFL3Q5T,5,0,2,0,0,0,0,1
ROFL3QD2,5,1,1,0,0,0,0,1
ROFL3RM4,5,1,1,0,0,0,0,1
ROFL3TQC,5,1,1,0,0,1,0,0
ROFL3ZPM,5,0,1,0,0,0,0,2
ROFL45HR,5,1,1,0,0,0,0,1
ROFL47R5,5,0,0,0,0,1,0,1
ROFL48O4,5,0,1,0,2,0,0,0
ROFL4BYQ,5,0,2,0,0,0,0,1
ROFL4CK9,5,0,1,0,2,0,0,0
ROFL4FEN,5,0,1,0,0,2,0,0
ROFL4FIR,5,0,2,0,1,0,0,0
ROFL4LAK,5,0,2,0,0,1,0,0
ROFL4N6F,5,1,1,0,0,0,0,1
ROFL4NNY,5,1,1,0,0,1,0,0
ROFL4REF,5,1,1,0,0,1,0,0
ROFL4RPG,5,0,2,0,1,0,0,0
ROFL4UCU,5,0,2,0,1,0,0,0
ROFL4UIN,5,1,1,0,0,0,0,1
ROFL4WB,5,0,2,0,0,0,0,1
ROFL4XXZ,5,1,1,0,0,1,0,0
ROFL4YFF,5,0,2,0,0,1,0,0
ROFL53RZ,5,1,1,0,0,1,0,0
ROFL5491,5,0,0,0,1,0,0,1
ROFL58IT,5,0,1,0,0,0,0,2
ROFL595,5,1,1,0,0,0,0,1
ROFL597G,5,1,1,0,1,0,0,0
ROFL5B8Z,5,1,1,0,1,0,0,0
ROFL5E2,5,1,1,0,1,0,0,0
ROFL5G23,5,0,2,0,0,0,0,1
ROFL5H8P,5,0,2,0,0,1,0,0
ROFL5HF1,5,0,2,0,0,0,0,1
ROFL5J5W,5,0,1,0,2,0,0,0
ROFL5TXQ,5,1,1,0,1,0,0,0
ROFL5YI2,5,1,1,0,0,1,0,0
ROFL5ZV7,5,0,2,0,1,0,0,0
ROFL61L2,5,0,2,0,1,0,0,0
ROFL636O,5,1,1,0,1,0,0,0
ROFL63YE,5,0,2,0,0,0,0,1
ROFL6D3T,5,0,1,0,2,0,0,0
ROFL8KC,5,1,1,0,1,0,0,0
ROFLDQT,5,0,1,0,0,0,0,2
ROFLFZS,5,1,1,0,0,1,0,0
ROFLGCM,5,1,1,0,0,1,0,0
ROFLHGK,5,1,1,0,0,0,0,1
ROFLI2O,5,0,2,0,0,0,0,1
ROFLIKF,5,1,1,0,1,0,0,0
11HAHAZP,4,1,0,0,0,1,0,0
11ROFL1U,4,0,1,0,0,1,0,0
1HAHA2CK,4,0,1,0,0,1,0,0
1HAHA2UD,4,0,1,0,1,0,0,0
1HAHA66L,4,0,1,0,1,0,0,0
1HAHA7LJ,4,0,1,0,0,0,0,1
1HAHA8,4,0,1,0,0,0,0,1
1HAHA91B,4,0,1,0,0,0,0,1
1HAHA999,4,0,1,0,1,0,0,0
1HAHA9FZ,4,0,1,0,1,0,0,0
1HAHABVA,4,0,1,0,1,0,0,0
1HAHACCF,4,0,1,0,0,0,0,1
1HAHADNZ,4,0,1,0,0,0,0,1
1HAHADSC,4,0,1,0,1,0,0,0
1HAHAE5O,4,0,1,0,0,0,0,1
1HAHAEB1,4,3,0,0,0,0,0,0
1HAHAHZH,4,1,0,0,0,1,0,0
1HAHAI1C,4,0,1,0,0,1,0,0
1HAHAIHJ,4,0,1,0,0,0,0,1
1HAHAIY3,4,0,1,0,0,0,0,1
1HAHAJ99,4,0,1,0,0,1,0,0
1HAHAJTB,4,0,1,0,0,0,0,1
1HAHAK2D,4,0,1,0,0,1,0,0
1HAHAKKZ,4,0,1,0,0,1,0,0
1LMAO1DA,4,0,1,0,0,1,0,0
1LMAO3LA,4,0,1,0,0,1,0,0
1LMAO5WG,4,3,0,0,0,0,0,0
1LMAO8PM,4,0,1,0,0,0,0,1
1LMAO8Y7,4,0,1,0,1,0,0,0
1LMAO9CZ,4,0,1,0,1,0,0,0
1LMAOA9R,4,0,1,0,0,0,0,1
1LMAOC5B,4,0,1,0,1,0,0,0
1LMAOCZO,4,0,1,0,1,0,0,0
1LMAOEWD,4,0,1,0,0,0,0,1
1LMAOGX9,4,0,1,0,0,1,0,0
1LMAOHDL,4,0,1,0,0,0,0,1
1LMAOIR2,4,0,1,0,0,1,0,0
1LMAOIXZ,4,0,1,0,0,1,0,0
1ROFL1BM,4,0,1,0,1,0,0,0
1ROFL1P3,4,0,1,0,0,0,0,1
1ROFL2JM,4,0,1,0,0,1,0,0
1ROFL2PB,4,0,1,0,1,0,0,0
1ROFL463,4,0,1,0,0,1,0,0
1ROFL49J,4,0,1,0,0,1,0,0
1ROFL4AK,4,0,1,0,0,0,0,1
1ROFL52M,4,0,1,0,0,0,0,1
1ROFL58K,4,0,1,0,0,1,0,0
1ROFL5I4,4,0,1,0,0,0,0,1
1ROFL5TC,4,0,1,0,0,0,0,1
1ROFL72X,4,0,1,0,0,1,0,0
1ROFL81D,4,1,0,0,0,0,0,1
1ROFL9FD,4,0,1,0,0,1,0,0
1ROFL9WE,4,0,1,0,0,0,0,1
1ROFLA2T,4,1,0,0,0,0,0,1
1ROFLBQ1,4,0,1,0,0,1,0,0
1ROFLC8,4,0,1,0,0,0,0,1
1ROFLD8G,4,0,1,0,1,0,0,0
1ROFLDQQ,4,0,1,0,1,0,0,0
1ROFLDXT,4,0,1,0,0,1,0,0
1ROFLE7P,4,0,0,0,0,0,0,2
1ROFLGTM,4,0,1,0,0,0,0,1
